Адресс	Код	СК	РА	РК	РД	А	С	Адрес	Новый код	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480B"	"0014"	"001C"	"480B"	"0000"	"0000"	"0"	"00B"	"001D"	
"014"	"9019"	"0019"	"0014"	"9019"	"9019"	"0000"	"0"	
"019"	"0011"	"001A"	"0011"	"0011"	"FFFD"	"0000"	"0"	"011"	"FFFD"	
"01A"	"C012"	"0012"	"001A"	"C012"	"C012"	"0000"	"0"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480B"	"0014"	"001D"	"480B"	"B0B0"	"B0B0"	"0"	"00B"	"001E"	
"014"	"9019"	"0015"	"0014"	"9019"	"9019"	"B0B0"	"0"	
"015"	"F200"	"0016"	"0015"	"F200"	"F200"	"0000"	"0"	
"016"	"F800"	"0017"	"0016"	"F800"	"F800"	"0001"	"0"	
"017"	"401C"	"0018"	"001C"	"401C"	"0000"	"0001"	"0"	
"018"	"301C"	"0019"	"001C"	"301C"	"0001"	"0001"	"0"	"01C"	"0001"	
"019"	"0011"	"001A"	"0011"	"0011"	"FFFE"	"0001"	"0"	"011"	"FFFE"	
"01A"	"C012"	"0012"	"001A"	"C012"	"C012"	"0001"	"0"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480B"	"0014"	"001E"	"480B"	"5B0B"	"5B0B"	"0"	"00B"	"001F"	
"014"	"9019"	"0019"	"0014"	"9019"	"9019"	"5B0B"	"0"	
"019"	"0011"	"001A"	"0011"	"0011"	"FFFF"	"5B0B"	"0"	"011"	"FFFF"	
"01A"	"C012"	"0012"	"001A"	"C012"	"C012"	"5B0B"	"0"	
"012"	"F200"	"0013"	"0012"	"F200"	"F200"	"0000"	"0"	
"013"	"480B"	"0014"	"001F"	"480B"	"CF11"	"CF11"	"0"	"00B"	"0020"	
"014"	"9019"	"0015"	"0014"	"9019"	"9019"	"CF11"	"0"	
"015"	"F200"	"0016"	"0015"	"F200"	"F200"	"0000"	"0"	
"016"	"F800"	"0017"	"0016"	"F800"	"F800"	"0001"	"0"	
"017"	"401C"	"0018"	"001C"	"401C"	"0001"	"0002"	"0"	
"018"	"301C"	"0019"	"001C"	"301C"	"0002"	"0002"	"0"	"01C"	"0002"	
"019"	"0011"	"001B"	"0011"	"0011"	"0000"	"0002"	"0"	"011"	"0000"	
"01B"	"F000"	"001C"	"001B"	"F000"	"F000"	"0002"	"0"	
